
i,N,M,t,
1,215,5000,0.008605,
2,215,5000,0.225825,
1,50,2713,0.001108,
2,50,2713,0.008728,
1,216,5000,0.008691,
2,216,5000,0.225852,
1,50,2725,0.001088,
2,50,2725,0.008683,
1,217,5000,0.008676,
2,217,5000,0.234054,
1,50,2738,0.001127,
2,50,2738,0.008862,
1,219,5000,0.004884,
2,219,5000,0.235898,
1,50,2750,0.001079,
2,50,2750,0.008847,
1,220,5000,0.008878,
2,220,5000,0.229593,
1,50,2762,0.001069,
2,50,2762,0.008895,
1,221,5000,0.004852,
2,221,5000,0.235488,
1,50,2774,0.001140,
2,50,2774,0.008811,
1,223,5000,0.009107,
2,223,5000,0.240249,
1,50,2787,0.001150,
2,50,2787,0.008813,
1,224,5000,0.009079,
2,224,5000,0.241578,
1,50,2799,0.001121,
2,50,2799,0.009111,
1,225,5000,0.009191,
2,225,5000,0.250570,
1,50,2811,0.001149,
2,50,2811,0.009101,
1,227,5000,0.009238,
2,227,5000,0.244137,
1,50,2824,0.001131,
2,50,2824,0.009135,
1,228,5000,0.009227,
2,228,5000,0.246981,
1,50,2836,0.001128,
2,50,2836,0.009185,
1,229,5000,0.009293,
2,229,5000,0.247912,
1,50,2848,0.001101,
2,50,2848,0.009294,
1,231,5000,0.009387,
2,231,5000,0.257866,
1,50,2860,0.001133,
2,50,2860,0.009251,
1,232,5000,0.009466,
2,232,5000,0.260502,
1,50,2873,0.001148,
2,50,2873,0.009202,
1,233,5000,0.009525,
2,233,5000,0.258510,
1,50,2885,0.001204,
2,50,2885,0.009567,
1,235,5000,0.009582,
2,235,5000,0.255243,
1,50,2897,0.001160,
2,50,2897,0.009443,
1,236,5000,0.001594,
2,236,5000,0.262436,
1,50,2909,0.001163,
2,50,2909,0.009561,
1,237,5000,0.005666,
2,237,5000,0.264838,
1,50,2922,0.001154,
2,50,2922,0.009409,
1,239,5000,0.009687,
2,239,5000,0.262559,
1,50,2934,0.001199,
2,50,2934,0.009647,
1,240,5000,0.009736,
2,240,5000,0.272055,
1,50,2946,0.001223,
2,50,2946,0.009880,
1,241,5000,0.009794,
2,241,5000,0.273210,
1,50,2958,0.001142,
2,50,2958,0.009738,
1,242,5000,0.001800,
2,242,5000,0.273805,
1,50,2971,0.001190,
2,50,2971,0.009936,
1,244,5000,0.009842,
2,244,5000,0.281739,
1,50,2983,0.001193,
2,50,2983,0.009871,
1,245,5000,0.005943,
2,245,5000,0.282802,
1,50,2995,0.001197,
2,50,2995,0.005996,
1,246,5000,0.010017,
2,246,5000,0.287203,
1,50,3008,0.001200,
2,50,3008,0.010017,
1,248,5000,0.010156,
2,248,5000,0.281461,
1,50,3020,0.001241,
2,50,3020,0.009965,
1,249,5000,0.010278,
2,249,5000,0.287055,
1,50,3032,0.001212,
2,50,3032,0.010085,
1,250,5000,0.010136,
2,250,5000,0.293567,
1,50,3044,0.001222,
2,50,3044,0.009956,
1,252,5000,0.006301,
2,252,5000,0.291767,
1,50,3057,0.001215,
2,50,3057,0.010180,
1,253,5000,0.010378,
2,253,5000,0.299664,
1,50,3069,0.001240,
2,50,3069,0.010270,
1,254,5000,0.006334,
2,254,5000,0.296154,
1,50,3081,0.001213,
2,50,3081,0.010085,
1,256,5000,0.006516,
2,256,5000,0.309931,
1,50,3093,0.001222,
2,50,3093,0.010246,
1,257,5000,0.010502,
2,257,5000,0.298789,
1,50,3106,0.001231,
2,50,3106,0.010457,
1,258,5000,0.006525,
2,258,5000,0.307465,
1,50,3118,0.001236,
2,50,3118,0.010370,
1,260,5000,0.006575,
2,260,5000,0.313808,
1,50,3130,0.001253,
2,50,3130,0.010428,
1,261,5000,0.010565,
2,261,5000,0.314437,
1,50,3142,0.001258,
2,50,3142,0.010542,
1,262,5000,0.010754,
2,262,5000,0.317493,
1,50,3155,0.001259,
2,50,3155,0.010569,
1,264,5000,0.010757,
2,264,5000,0.320940,
1,50,3167,0.001269,
2,50,3167,0.010728,
1,265,5000,0.010894,
2,265,5000,0.317702,
1,50,3179,0.001271,
2,50,3179,0.010642,
1,266,5000,0.010786,
2,266,5000,0.318768,
1,50,3192,0.001279,
2,50,3192,0.010853,
1,268,5000,0.010980,
2,268,5000,0.326322,
1,50,3204,0.000000,
2,50,3204,0.007655,
1,269,5000,0.007064,
2,269,5000,0.325473,
1,50,3216,0.001291,
2,50,3216,0.010803,
1,270,5000,0.003051,
2,270,5000,0.337348,
1,50,3228,0.001239,
2,50,3228,0.010852,
1,272,5000,0.011071,
2,272,5000,0.330651,
1,50,3241,0.001301,
2,50,3241,0.010940,
1,273,5000,0.011229,
2,273,5000,0.336686,
1,50,3253,0.001317,
2,50,3253,0.010981,
1,274,5000,0.011208,
2,274,5000,0.333836,
1,50,3265,0.000000,
2,50,3265,0.008348,
1,275,5000,0.011266,
2,275,5000,0.335112,
1,50,3277,0.001355,
2,50,3277,0.011023,
1,277,5000,0.007415,
2,277,5000,0.346108,
1,50,3290,0.001320,
2,50,3290,0.011167,
1,278,5000,0.011354,
2,278,5000,0.342729,
1,50,3302,0.001369,
2,50,3302,0.011169,
1,279,5000,0.011381,
2,279,5000,0.347456,
1,50,3314,0.001314,
2,50,3314,0.011354,
1,281,5000,0.011599,
2,281,5000,0.354104,
1,50,3326,0.001318,
2,50,3326,0.011532,
1,282,5000,0.007675,
2,282,5000,0.355486,
1,50,3339,0.001352,
2,50,3339,0.011515,
1,283,5000,0.011593,
2,283,5000,0.359341,
1,50,3351,0.001342,
2,50,3351,0.011523,
1,285,5000,0.003806,
2,285,5000,0.369566,
1,50,3363,0.001325,
2,50,3363,0.011300,
1,286,5000,0.011822,
2,286,5000,0.376731,
1,50,3376,0.001349,
2,50,3376,0.011198,
1,287,5000,0.011747,
2,287,5000,0.365863,
1,50,3388,0.001316,
2,50,3388,0.011763,
1,289,5000,0.011904,
2,289,5000,0.373459,
1,50,3400,0.001359,
2,50,3400,0.011670,
1,290,5000,0.011966,
2,290,5000,0.376251,
1,50,3412,0.001459,
2,50,3412,0.012112,
1,291,5000,0.012218,
2,291,5000,0.383530,
1,50,3425,0.001398,
2,50,3425,0.011798,
1,293,5000,0.011963,
2,293,5000,0.385848,
1,50,3437,0.001370,
